Agent_0:,Agent_1:,Number Of Simulations:,Agent_0 wins:,Agent_1 wins:,Draws:,Errors,Student:
greedyImproved,greedyImproved,0,0,0,0,0,saleh
minimax,minimax,0,0,0,0,0,saleh
alphabeta,alphabeta,0,0,0,0,0,saleh
expectimax,expectimax,10,6,3,1,0,saleh
greedyImproved,expectimax,0,0,0,0,0,saleh
minimax,greedyImproved,0,0,0,0,0,saleh
alphabeta,minimax,0,0,0,0,0,saleh
expectimax,alphabeta,0,0,0,0,0,saleh
greedyImproved,alphabeta,0,0,0,0,0,saleh
minimax,expectimax,0,0,0,0,0,saleh
alphabeta,greedyImproved,0,0,0,0,0,saleh
expectimax,minimax,0,0,0,0,0,saleh
greedyImproved,minimax,0,0,0,0,0,saleh
minimax,alphabeta,0,0,0,0,0,saleh
alphabeta,expectimax,0,0,0,0,0,saleh
expectimax,greedyImproved,0,0,0,0,0,saleh
